ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): LOUISIANA

Agency Name,State Name [District] Latest available year,State Name [District] 2016-17,Agency Name [District] 2016-17,Agency Type [District] 2016-17,Total Students All Grades (Includes AE) [District] 2016-17,Male Students [District] 2016-17,Female Students [District] 2016-17,American Indian/Alaska Native - male [District] 2016-17,American Indian/Alaska Native - female [District] 2016-17,Asian or Asian/Pacific Islander - male [District] 2016-17,Asian or Asian/Pacific Islander - female [District] 2016-17,Hispanic - male [District] 2016-17,Hispanic - female [District] 2016-17,Black or African American - male [District] 2016-17,Black or African American - female [District] 2016-17,White - male [District] 2016-17,White - female [District] 2016-17,Nat. Hawaiian or Other Pacific Isl. - male [District] 2016-17,Nat. Hawaiian or Other Pacific Isl. - female [District] 2016-17,Two or More Races - male [District] 2016-17,Two or More Races - female [District] 2016-17,Full-Time Equivalent (FTE) Teachers [District] 2016-17,Pupil/Teacher Ratio [District] 2016-17,Kindergarten Teachers [District] 2016-17,Elementary Teachers [District] 2016-17,Secondary Teachers [District] 2016-17,Total Staff [District] 2016-17,Total General Revenue (TOTALREV) [District Finance] 2016-17,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2016-17,Total Revenue - State Sources (TSTREV) [District Finance] 2016-17,Total Revenue - Local Sources (TLOCREV) [District Finance] 2016-17,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2016-17,Instruction Expenditures - Total (E13) [District Finance] 2016-17,Salary - Instruction Expenditures (Z33) [District Finance] 2016-17
CAPITOL HIGH SCHOOL,LOUISIANA,LOUISIANA,RSD-Friendship Louisiana Inc.,7-Independent Charter District,410,217,183,–,–,–,–,2,–,218,189,1,–,–,–,–,–,36.54,11.22,="0.80",2.43,33.31,52.32,16011000,2046000,6176000,7789000,39051,6535000,3893000
CATAHOULA PARISH,Louisiana,LOUISIANA,Catahoula Parish,1-Regular local school district that is NOT a component of a supervisory union,1330,701,628,1,1,4,2,10,13,286,250,395,357,1,–,4,6,126.19,10.54,6.29,63.82,54.08,282.28,16493000,2619000,9778000,4096000,12401,9312000,5411000
CELERITY CRESTWORTH CHARTER SCHOOL,LOUISIANA,LOUISIANA,Celerity Crestworth Charter School,7-Independent Charter District,155,74,69,–,–,–,–,–,–,80,75,–,–,–,–,–,–,15.00,10.33,="0.00",11.00,4.00,25.00,2410000,785000,650000,975000,15548,985000,718000
CELERITY DALTON CHARTER SCHOOL,LOUISIANA,LOUISIANA,Celerity Dalton Charter School,7-Independent Charter District,442,248,194,="0",="0",="0",="0",="0",="0",248,194,="0",="0",="0",="0",="0",="0",26.96,16.39,2.98,19.98,4.00,57.96,6188000,1557000,1848000,2783000,14000,2305000,1397000
CELERITY LANIER CHARTER SCHOOL,LOUISIANA,LOUISIANA,Celerity Lanier Charter School,7-Independent Charter District,359,181,178,="0",="0",="0",="0",3,3,177,175,1,="0",="0",="0",="0",="0",25.00,14.36,3.00,19.00,3.00,42.00,4960000,1245000,1483000,2232000,13816,2132000,1166000
CENTRAL COMMUNITY SCHOOL DISTRICT,Louisiana,LOUISIANA,Central Community School District,1-Regular local school district that is NOT a component of a supervisory union,4632,2384,2247,9,6,38,29,88,80,434,393,1775,1691,–,2,41,46,271.17,17.08,17.00,155.67,91.50,431.50,57348000,7215000,30503000,19630000,12381,26291000,16718000
CITY OF BAKER SCHOOL DISTRICT,Louisiana,LOUISIANA,City of Baker School District,1-Regular local school district that is NOT a component of a supervisory union,1479,795,682,–,1,2,2,15,14,749,631,26,28,–,1,5,5,65.62,22.54,2.00,24.50,36.12,149.11,23075000,6330000,10907000,5838000,15602,8055000,5072000
CITY OF BOGALUSA SCHOOL DISTRICT,Louisiana,LOUISIANA,City of Bogalusa School District,1-Regular local school district that is NOT a component of a supervisory union,1465,739,722,–,–,3,3,23,24,572,574,128,111,–,–,15,12,132.11,11.09,6.96,69.95,49.18,277.11,23201000,3625000,11380000,8196000,15837,10287000,6302000
CITY OF MONROE SCHOOL DISTRICT,Louisiana,LOUISIANA,City of Monroe School District,1-Regular local school district that is NOT a component of a supervisory union,8350,4264,4086,4,2,30,37,37,47,3599,3506,559,461,2,4,33,29,774.03,10.79,46.28,426.75,264.00,1617.43,111142000,16769000,48159000,46214000,13310,58027000,37769000
CLAIBORNE PARISH,Louisiana,LOUISIANA,Claiborne Parish,1-Regular local school district that is NOT a component of a supervisory union,1709,877,829,–,–,2,3,25,23,598,553,236,236,–,1,18,14,107.00,15.97,5.99,61.60,33.55,258.83,21552000,3045000,11397000,7110000,12611,9474000,5651000
