ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): LOUISIANA

Agency Name,State Name [District] Latest available year,State Name [District] 2016-17,Agency Name [District] 2016-17,Agency Type [District] 2016-17,Total Students All Grades (Includes AE) [District] 2016-17,Male Students [District] 2016-17,Female Students [District] 2016-17,American Indian/Alaska Native - male [District] 2016-17,American Indian/Alaska Native - female [District] 2016-17,Asian or Asian/Pacific Islander - male [District] 2016-17,Asian or Asian/Pacific Islander - female [District] 2016-17,Hispanic - male [District] 2016-17,Hispanic - female [District] 2016-17,Black or African American - male [District] 2016-17,Black or African American - female [District] 2016-17,White - male [District] 2016-17,White - female [District] 2016-17,Nat. Hawaiian or Other Pacific Isl. - male [District] 2016-17,Nat. Hawaiian or Other Pacific Isl. - female [District] 2016-17,Two or More Races - male [District] 2016-17,Two or More Races - female [District] 2016-17,Full-Time Equivalent (FTE) Teachers [District] 2016-17,Pupil/Teacher Ratio [District] 2016-17,Kindergarten Teachers [District] 2016-17,Elementary Teachers [District] 2016-17,Secondary Teachers [District] 2016-17,Total Staff [District] 2016-17,Total General Revenue (TOTALREV) [District Finance] 2016-17,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2016-17,Total Revenue - State Sources (TSTREV) [District Finance] 2016-17,Total Revenue - Local Sources (TLOCREV) [District Finance] 2016-17,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2016-17,Instruction Expenditures - Total (E13) [District Finance] 2016-17,Salary - Instruction Expenditures (Z33) [District Finance] 2016-17
ST. JAMES PARISH,Louisiana,LOUISIANA,St. James Parish,1-Regular local school district that is NOT a component of a supervisory union,3762,1876,1884,4,2,3,4,31,25,1154,1171,672,663,–,–,13,20,287.87,13.07,16.00,163.37,85.15,550.08,63927000,6328000,13937000,43662000,16993,31805000,20693000
ST. JOHN THE BAPTIST PARISH,Louisiana,LOUISIANA,St. John the Baptist Parish,1-Regular local school district that is NOT a component of a supervisory union,5981,3023,2957,–,3,10,12,203,200,2369,2336,394,349,1,1,47,56,374.64,15.96,21.82,228.88,104.94,697.52,81597000,13552000,27723000,40322000,13643,41335000,25343000
ST. LANDRY PARISH,Louisiana,LOUISIANA,St. Landry Parish,1-Regular local school district that is NOT a component of a supervisory union,13886,7170,6716,15,11,49,35,136,121,4149,3940,2771,2562,4,1,46,46,824.12,16.85,="0.00",531.88,265.25,1805.21,141710000,21134000,80912000,39664000,10205,81545000,50284000
ST. MARTIN PARISH,Louisiana,LOUISIANA,St. Martin Parish,1-Regular local school district that is NOT a component of a supervisory union,8159,4206,3951,8,14,42,35,102,97,1920,1814,2031,1903,–,–,104,89,428.99,19.02,21.50,269.96,113.76,891.55,85914000,10283000,46961000,28670000,10530,42891000,28169000
ST. MARY PARISH,Louisiana,LOUISIANA,St. Mary Parish,1-Regular local school district that is NOT a component of a supervisory union,8707,4471,4236,21,32,81,42,502,407,1743,1635,1895,1904,1,1,228,215,547.42,15.91,30.19,335.55,157.68,1067.49,99236000,11625000,46754000,40857000,11397,50461000,34273000
ST. TAMMANY PARISH,Louisiana,LOUISIANA,St. Tammany Parish,1-Regular local school district that is NOT a component of a supervisory union,38270,19573,18697,68,62,276,267,1204,1184,3694,3495,13862,13213,15,14,454,462,2337.29,16.37,150.61,1471.85,659.74,4533.03,501712000,37246000,225556000,238910000,13110,267723000,167024000
SUCCESS PREPARATORY ACADEMY,LOUISIANA,LOUISIANA,RSD-Success Preparatory Academy,7-Independent Charter District,453,231,215,–,–,–,–,27,30,201,187,5,2,–,–,1,–,63.94,7.08,3.92,59.80,="0.00",127.61,–,–,–,–,="0",–,–
SYLVANIE WILLIAMS COLLEGE PREP,LOUISIANA,LOUISIANA,RSD-New Orleans College Preparatory Academies,7-Independent Charter District,420,227,185,–,–,–,–,2,3,225,187,2,–,–,–,1,–,26.54,15.83,1.95,20.70,2.92,50.75,6099000,1552000,1732000,2815000,14521,3100000,2254000
TALLULAH CHARTER SCHOOL,LOUISIANA,LOUISIANA,Tallulah Charter School,7-Independent Charter District,444,201,233,–,–,–,–,–,–,203,233,3,5,–,–,–,–,27.14,16.36,2.00,22.14,1.00,61.46,4949000,1346000,2150000,1453000,11146,2025000,1167000
TANGIPAHOA CHARTER SCHOOL ASSOCIATION,LOUISIANA,LOUISIANA,Tangipahoa Charter School Association,7-Independent Charter District,250,111,136,2,1,–,1,8,8,44,59,56,66,–,–,3,2,18.99,13.16,2.00,16.99,="0.00",28.79,2348000,255000,1425000,668000,9392,922000,699000
TANGIPAHOA PARISH,Louisiana,LOUISIANA,Tangipahoa Parish,1-Regular local school district that is NOT a component of a supervisory union,19374,9967,9407,4,7,41,43,511,452,4543,4454,4323,3944,2,2,543,505,1501.69,12.90,85.74,860.67,503.21,2976.36,201734000,29148000,112732000,59854000,10413,109952000,68976000
TENSAS PARISH,Louisiana,LOUISIANA,Tensas Parish,1-Regular local school district that is NOT a component of a supervisory union,592,327,260,–,–,2,1,2,–,283,228,38,32,–,–,4,2,59.91,9.88,5.94,34.67,17.30,143.65,8933000,1409000,4510000,3014000,15090,4337000,2278000
TERREBONNE PARISH,Louisiana,LOUISIANA,Terrebonne Parish,1-Regular local school district that is NOT a component of a supervisory union,17917,9199,8718,750,705,127,116,716,650,2521,2365,4527,4307,3,3,555,572,1208.24,14.83,77.87,726.42,341.13,2206.89,185181000,23725000,93308000,68148000,10335,103635000,62947000
THE MAX CHARTER SCHOOL,Louisiana,LOUISIANA,The MAX Charter School,7-Independent Charter District,119,69,46,2,2,–,–,1,1,4,5,63,39,–,–,1,1,12.84,9.27,†,12.84,="0.00",35.99,1431000,56000,1215000,160000,12025,964000,628000
THE NET CHARTER HIGH SCHOOL,LOUISIANA,LOUISIANA,RSD-Educators for Quality Alternatives,7-Independent Charter District,168,84,76,–,–,–,–,4,8,83,71,1,1,–,–,–,–,27.23,6.17,†,1.11,26.12,51.68,2695000,222000,1174000,1299000,16042,1157000,698000
UNION PARISH,Louisiana,LOUISIANA,Union Parish,1-Regular local school district that is NOT a component of a supervisory union,2113,1097,1014,1,–,5,1,133,108,508,490,436,400,2,–,12,17,160.61,13.16,5.98,87.26,64.12,356.55,37289000,7090000,14830000,15369000,17647,14842000,8665000
UNIVERSITY VIEW ACADEMY INC. (FRM LA CONNECTIONS),Louisiana,LOUISIANA,University View Academy Inc. (FRM LA Connections),7-Independent Charter District,2275,1001,1273,13,10,4,11,60,80,194,213,695,892,2,–,33,68,91.46,24.87,="0.00",25.46,66.00,159.03,21201000,1126000,10387000,9688000,9319,16259000,4245000
V. B. GLENCOE CHARTER SCHOOL,Louisiana,LOUISIANA,V. B. Glencoe Charter School,7-Independent Charter District,346,170,173,2,–,5,2,6,6,70,68,75,88,–,–,13,11,26.00,13.31,2.00,24.00,="0.00",49.17,3830000,515000,3249000,66000,11069,2151000,1449000
VERMILION PARISH,Louisiana,LOUISIANA,Vermilion Parish,1-Regular local school district that is NOT a component of a supervisory union,9620,4853,4766,1,2,121,114,175,202,1010,970,3405,3315,–,2,142,161,698.54,13.77,45.72,446.41,179.89,1314.28,94652000,12075000,52036000,30541000,9839,52151000,33783000
VERNON PARISH,Louisiana,LOUISIANA,Vernon Parish,1-Regular local school district that is NOT a component of a supervisory union,8882,4623,4259,28,34,61,44,350,316,709,696,3229,2917,36,22,210,230,737.88,12.04,57.10,404.98,229.58,1468.95,94643000,17969000,55553000,21121000,10656,51510000,32700000
VISION ACADEMY,LOUISIANA,LOUISIANA,Vision Academy,7-Independent Charter District,180,91,81,1,1,–,–,–,–,87,85,5,–,–,–,1,–,4.00,45.00,†,†,4.00,31.93,1868000,76000,913000,879000,10378,634000,353000
VOICES FOR INTERNATIONAL BUSINESS & EDUCATION,Louisiana,LOUISIANA,Voices for International Business & Education,7-Independent Charter District,567,253,310,–,–,28,13,65,62,137,211,23,20,–,–,2,6,41.10,13.80,†,†,41.10,88.01,6291000,495000,2431000,3365000,11095,3058000,2274000
WALTER L. COHEN COLLEGE PREP,LOUISIANA,LOUISIANA,RSD-New Orleans College Preparatory Academies,7-Independent Charter District,416,223,187,3,1,–,–,29,22,189,161,5,6,–,–,–,–,25.98,16.01,†,="0.97",25.01,48.64,6285000,948000,2569000,2768000,15108,3039000,2111000
WASHINGTON PARISH,Louisiana,LOUISIANA,Washington Parish,1-Regular local school district that is NOT a component of a supervisory union,5261,2742,2517,6,5,6,7,74,63,828,726,1792,1683,–,–,37,34,384.26,13.69,19.91,210.37,132.05,823.48,55569000,8657000,37572000,9340000,10562,27705000,16849000
WEBSTER PARISH,Louisiana,LOUISIANA,Webster Parish,1-Regular local school district that is NOT a component of a supervisory union,6306,3234,3071,4,4,16,18,69,60,1344,1296,1753,1627,–,1,49,65,374.24,16.85,29.85,214.95,123.44,761.86,71749000,7983000,37610000,26156000,11378,35025000,21162000
WEST BATON ROUGE PARISH,Louisiana,LOUISIANA,West Baton Rouge Parish,1-Regular local school district that is NOT a component of a supervisory union,3886,1999,1884,–,3,14,8,86,88,1022,978,862,788,–,–,17,20,288.80,13.46,18.00,158.51,91.29,565.53,51331000,6816000,13930000,30585000,13209,31787000,19954000
WEST CARROLL PARISH,Louisiana,LOUISIANA,West Carroll Parish,1-Regular local school district that is NOT a component of a supervisory union,2101,1106,993,1,4,5,5,26,32,195,177,868,763,–,–,12,13,166.37,12.63,13.32,55.15,91.58,303.01,23396000,2938000,14242000,6216000,11136,12573000,7287000
WEST FELICIANA PARISH,Louisiana,LOUISIANA,West Feliciana Parish,1-Regular local school district that is NOT a component of a supervisory union,2171,1117,1050,–,–,5,5,16,27,445,398,639,608,–,–,14,14,185.14,11.73,6.00,100.67,59.03,415.88,30979000,3143000,9881000,17955000,14269,15308000,10382000
WILLIAM J. FISCHER ACCELERATED ACADEMY,LOUISIANA,LOUISIANA,William J. Fischer Accelerated Academy,7-Independent Charter District,468,240,221,–,1,–,–,6,4,239,215,–,–,–,2,–,1,14.91,31.39,2.00,10.91,="0.00",49.41,5471000,1146000,1907000,2418000,11690,2839000,1703000
WILLOW CHARTER ACADEMY,LOUISIANA,LOUISIANA,Willow Charter Academy,7-Independent Charter District,475,248,220,1,–,–,–,1,3,235,216,14,5,–,–,–,–,41.10,11.56,2.26,29.66,9.18,75.47,6541000,678000,1939000,3924000,13771,2595000,1705000
WINN PARISH,Louisiana,LOUISIANA,Winn Parish,1-Regular local school district that is NOT a component of a supervisory union,2393,1191,1200,3,2,2,2,32,29,419,432,717,722,–,–,19,14,183.36,13.05,9.64,91.11,76.76,407.57,27290000,3258000,16750000,7282000,11404,13858000,8500000
ZACHARY COMMUNITY SCHOOL DISTRICT,Louisiana,LOUISIANA,Zachary Community School District,1-Regular local school district that is NOT a component of a supervisory union,5417,2741,2674,1,1,25,37,44,53,1336,1301,1259,1208,–,–,77,75,363.68,14.89,16.00,232.12,93.56,585.36,68430000,3672000,31953000,32805000,12632,32298000,21322000


Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) "Local Education Agency (School District) Universe Survey" 2016-17 v.2a  2019-20 v.1a; "School District Finance Survey (F-33)" 2016-17 (FY 2017) v.1a.

† indicates that the data are not applicable.
– indicates that the data are missing.
‡ indicates that the data do not meet NCES data quality standards.
