"COUNTY_ID","CONAME","DISTRICT_ID","DISTNAME","ENROLL_LINE_NO","ENROLL_CAT","AMOUNT_1","AMOUNT_2","AMOUNT_3"
07,"CAMDEN",0340,"BERLIN TWP",11,"Onroll (Full)",531.0,567.0,682.0
07,"CAMDEN",0340,"BERLIN TWP",21,"Onroll (SpEd Full)",108.0,112.0,142.0
07,"CAMDEN",0340,"BERLIN TWP",40,"Sent Private School",5.0,5.0,0.0
07,"CAMDEN",0340,"BERLIN TWP",51,"Sent Oth Dist Reg",142.0,138.0,0.0
07,"CAMDEN",0340,"BERLIN TWP",52,"Sent Oth Dist SpEd",31.0,36.0,0.0
07,"CAMDEN",0340,"BERLIN TWP",60,"Received Oth Dist",22.0,30.0,0.0
07,"CAMDEN",0390,"BLACK HORSE PIKE REGIONAL",11,"Onroll (Full)",3224.0,3141.0,3183.0
07,"CAMDEN",0390,"BLACK HORSE PIKE REGIONAL",21,"Onroll (SpEd Full)",520.0,546.0,546.0
07,"CAMDEN",0390,"BLACK HORSE PIKE REGIONAL",40,"Sent Private School",61.0,52.0,52.0
07,"CAMDEN",0390,"BLACK HORSE PIKE REGIONAL",51,"Sent Oth Dist Reg",11.0,18.0,18.0
07,"CAMDEN",0390,"BLACK HORSE PIKE REGIONAL",52,"Sent Oth Dist SpEd",34.0,36.0,36.0
07,"CAMDEN",0390,"BLACK HORSE PIKE REGIONAL",60,"Received Oth Dist",26.0,24.0,24.0
07,"CAMDEN",0390,"BLACK HORSE PIKE REGIONAL",70,"State Facilities",14.0,6.0,0.0
07,"CAMDEN",0580,"BROOKLAWN BORO",11,"Onroll (Full)",296.0,278.0,308.0
07,"CAMDEN",0580,"BROOKLAWN BORO",21,"Onroll (SpEd Full)",43.0,42.0,67.0
07,"CAMDEN",0580,"BROOKLAWN BORO",40,"Sent Private School",2.0,1.0,0.0
07,"CAMDEN",0580,"BROOKLAWN BORO",51,"Sent Oth Dist Reg",43.0,43.0,0.0
07,"CAMDEN",0580,"BROOKLAWN BORO",52,"Sent Oth Dist SpEd",22.0,24.0,2.0
07,"CAMDEN",0580,"BROOKLAWN BORO",60,"Received Oth Dist",6.0,4.0,0.0
07,"CAMDEN",0680,"CAMDEN CITY",11,"Onroll (Full)",13391.5,13696.0,13491.0
07,"CAMDEN",0680,"CAMDEN CITY",21,"Onroll (SpEd Full)",2459.0,2277.0,2481.0
07,"CAMDEN",0680,"CAMDEN CITY",40,"Sent Private School",170.0,134.0,0.0
07,"CAMDEN",0680,"CAMDEN CITY",50,"Sent Contract Presch",1242.0,1412.0,1445.0
07,"CAMDEN",0680,"CAMDEN CITY",51,"Sent Oth Dist Reg",96.0,49.0,0.0
07,"CAMDEN",0680,"CAMDEN CITY",52,"Sent Oth Dist SpEd",101.0,99.0,38.0
07,"CAMDEN",0680,"CAMDEN CITY",60,"Received Oth Dist",56.0,92.0,0.0
07,"CAMDEN",0680,"CAMDEN CITY",70,"State Facilities",119.0,106.0,0.0
07,"CAMDEN",0700,"CAMDEN COUNTY VOCATIONAL",11,"Onroll (Full)",1550.0,1594.0,1594.0
07,"CAMDEN",0700,"CAMDEN COUNTY VOCATIONAL",21,"Onroll (SpEd Full)",576.0,491.0,491.0
07,"CAMDEN",0800,"CHERRY HILL TWP",11,"Onroll (Full)",9518.0,9466.0,9412.0
07,"CAMDEN",0800,"CHERRY HILL TWP",21,"Onroll (SpEd Full)",1718.0,1669.0,1656.0
07,"CAMDEN",0800,"CHERRY HILL TWP",22,"Onroll (SpEd Shared)",0,1.0,1.0
07,"CAMDEN",0800,"CHERRY HILL TWP",40,"Sent Private School",91.0,102.5,102.5
07,"CAMDEN",0800,"CHERRY HILL TWP",51,"Sent Oth Dist Reg",14.0,9.0,9.0
07,"CAMDEN",0800,"CHERRY HILL TWP",52,"Sent Oth Dist SpEd",27.0,27.5,36.5
07,"CAMDEN",0800,"CHERRY HILL TWP",60,"Received Oth Dist",35.0,13.0,13.0
07,"CAMDEN",0800,"CHERRY HILL TWP",70,"State Facilities",2.0,3.0,0.0
07,"CAMDEN",0810,"CHESILHURST",11,"Onroll (Full)",2.0,0,0.0
07,"CAMDEN",0810,"CHESILHURST",21,"Onroll (SpEd Full)",1.0,0,0.0
07,"CAMDEN",0810,"CHESILHURST",40,"Sent Private School",2.0,2.0,5.0
07,"CAMDEN",0810,"CHESILHURST",50,"Sent Contract Presch",0.0,0.0,2.0
07,"CAMDEN",0810,"CHESILHURST",51,"Sent Oth Dist Reg",124.0,125.0,134.0
07,"CAMDEN",0810,"CHESILHURST",52,"Sent Oth Dist SpEd",23.0,27.0,11.0
07,"CAMDEN",0880,"CLEMENTON BORO",11,"Onroll (Full)",373.0,373.0,387.0
07,"CAMDEN",0880,"CLEMENTON BORO",21,"Onroll (SpEd Full)",60.0,64.0,64.0
07,"CAMDEN",0880,"CLEMENTON BORO",40,"Sent Private School",23.0,7.0,11.0
07,"CAMDEN",0880,"CLEMENTON BORO",51,"Sent Oth Dist Reg",121.0,118.0,100.0
07,"CAMDEN",0880,"CLEMENTON BORO",52,"Sent Oth Dist SpEd",42.0,37.0,38.0
07,"CAMDEN",0880,"CLEMENTON BORO",60,"Received Oth Dist",11.0,16.0,7.0
07,"CAMDEN",0880,"CLEMENTON BORO",70,"State Facilities",0,2.0,2.0
07,"CAMDEN",0940,"COLLINGSWOOD BORO",11,"Onroll (Full)",1660.0,1678.0,1668.0
07,"CAMDEN",0940,"COLLINGSWOOD BORO",21,"Onroll (SpEd Full)",244.0,279.0,281.0
07,"CAMDEN",0940,"COLLINGSWOOD BORO",40,"Sent Private School",11.0,5.0,5.0
07,"CAMDEN",0940,"COLLINGSWOOD BORO",51,"Sent Oth Dist Reg",4.0,2.0,0.0
07,"CAMDEN",0940,"COLLINGSWOOD BORO",52,"Sent Oth Dist SpEd",8.0,8.0,7.0
07,"CAMDEN",0940,"COLLINGSWOOD BORO",60,"Received Oth Dist",307.0,334.0,314.0
07,"CAMDEN",0940,"COLLINGSWOOD BORO",70,"State Facilities",4.0,2.0,0.0
07,"CAMDEN",1255,"EASTERN CAMDEN COUNTY REG",11,"Onroll (Full)",1781.0,1800.0,1799.0
07,"CAMDEN",1255,"EASTERN CAMDEN COUNTY REG",21,"Onroll (SpEd Full)",235.0,239.0,239.0
07,"CAMDEN",1255,"EASTERN CAMDEN COUNTY REG",40,"Sent Private School",30.0,24.0,24.0
07,"CAMDEN",1255,"EASTERN CAMDEN COUNTY REG",51,"Sent Oth Dist Reg",2.0,1.0,1.0
07,"CAMDEN",1255,"EASTERN CAMDEN COUNTY REG",52,"Sent Oth Dist SpEd",7.0,8.0,8.0
07,"CAMDEN",1255,"EASTERN CAMDEN COUNTY REG",60,"Received Oth Dist",12.0,19.0,19.0
07,"CAMDEN",1255,"EASTERN CAMDEN COUNTY REG",70,"State Facilities",0,1.0,0.0
07,"CAMDEN",1720,"GIBBSBORO BORO",11,"Onroll (Full)",248.0,226.0,221.0
07,"CAMDEN",1720,"GIBBSBORO BORO",21,"Onroll (SpEd Full)",25.0,28.0,24.0
07,"CAMDEN",1720,"GIBBSBORO BORO",52,"Sent Oth Dist SpEd",1.0,1.0,0.0
07,"CAMDEN",1720,"GIBBSBORO BORO",60,"Received Oth Dist",11.0,15.0,14.0
07,"CAMDEN",1770,"GLOUCESTER CITY",11,"Onroll (Full)",1757.0,1768.0,1791.0
07,"CAMDEN",1770,"GLOUCESTER CITY",13,"Onroll (Reg Adult HS)",122.0,0,0.0
07,"CAMDEN",1770,"GLOUCESTER CITY",21,"Onroll (SpEd Full)",324.0,342.0,338.0
07,"CAMDEN",1770,"GLOUCESTER CITY",40,"Sent Private School",27.0,30.0,31.0
07,"CAMDEN",1770,"GLOUCESTER CITY",51,"Sent Oth Dist Reg",3.0,2.0,0.0
07,"CAMDEN",1770,"GLOUCESTER CITY",52,"Sent Oth Dist SpEd",17.0,17.0,17.0
07,"CAMDEN",1770,"GLOUCESTER CITY",60,"Received Oth Dist",65.0,62.0,62.0
07,"CAMDEN",1770,"GLOUCESTER CITY",70,"State Facilities",3.0,1.0,1.0
07,"CAMDEN",1780,"GLOUCESTER TWP",11,"Onroll (Full)",5682.0,5610.0,5812.0
07,"CAMDEN",1780,"GLOUCESTER TWP",21,"Onroll (SpEd Full)",960.0,934.0,948.0
07,"CAMDEN",1780,"GLOUCESTER TWP",22,"Onroll (SpEd Shared)",1.0,0,0.0
07,"CAMDEN",1780,"GLOUCESTER TWP",40,"Sent Private School",53.0,51.0,0.0
07,"CAMDEN",1780,"GLOUCESTER TWP",50,"Sent Contract Presch",0,3.0,0.0
07,"CAMDEN",1780,"GLOUCESTER TWP",51,"Sent Oth Dist Reg",26.0,12.0,15.0
07,"CAMDEN",1780,"GLOUCESTER TWP",52,"Sent Oth Dist SpEd",61.5,59.0,101.0
07,"CAMDEN",1780,"GLOUCESTER TWP",60,"Received Oth Dist",44.0,37.0,29.0
07,"CAMDEN",1780,"GLOUCESTER TWP",70,"State Facilities",0,1.0,1.0
07,"CAMDEN",1880,"HADDON HEIGHTS BORO",11,"Onroll (Full)",1147.0,1142.0,1175.0
07,"CAMDEN",1880,"HADDON HEIGHTS BORO",21,"Onroll (SpEd Full)",143.0,143.0,138.0
07,"CAMDEN",1880,"HADDON HEIGHTS BORO",40,"Sent Private School",8.0,9.0,9.0
07,"CAMDEN",1880,"HADDON HEIGHTS BORO",51,"Sent Oth Dist Reg",0.0,2.0,2.0
07,"CAMDEN",1880,"HADDON HEIGHTS BORO",52,"Sent Oth Dist SpEd",7.0,5.0,5.0
07,"CAMDEN",1880,"HADDON HEIGHTS BORO",60,"Received Oth Dist",358.0,362.0,400.0
07,"CAMDEN",1890,"HADDON TWP",11,"Onroll (Full)",1791.0,1757.0,1758.0
07,"CAMDEN",1890,"HADDON TWP",21,"Onroll (SpEd Full)",327.0,325.0,324.0
07,"CAMDEN",1890,"HADDON TWP",40,"Sent Private School",26.0,17.0,17.0
07,"CAMDEN",1890,"HADDON TWP",52,"Sent Oth Dist SpEd",12.0,12.5,12.0
07,"CAMDEN",1890,"HADDON TWP",60,"Received Oth Dist",3.0,1.0,0.0
07,"CAMDEN",1890,"HADDON TWP",70,"State Facilities",1.0,1.0,0.0
07,"CAMDEN",1900,"HADDONFIELD BORO",11,"Onroll (Full)",2205.0,2264.0,2307.0
07,"CAMDEN",1900,"HADDONFIELD BORO",21,"Onroll (SpEd Full)",397.0,401.0,422.0
07,"CAMDEN",1900,"HADDONFIELD BORO",40,"Sent Private School",15.0,15.0,0.0
07,"CAMDEN",1900,"HADDONFIELD BORO",52,"Sent Oth Dist SpEd",4.0,0,3.0
07,"CAMDEN",1900,"HADDONFIELD BORO",60,"Received Oth Dist",41.0,42.0,27.0
07,"CAMDEN",1900,"HADDONFIELD BORO",70,"State Facilities",1.0,1.0,1.0
07,"CAMDEN",2130,"HI NELLA",40,"Sent Private School",0.0,0.0,2.0
07,"CAMDEN",2130,"HI NELLA",51,"Sent Oth Dist Reg",83.0,104.0,108.0
07,"CAMDEN",2130,"HI NELLA",52,"Sent Oth Dist SpEd",33.0,37.0,24.0
07,"CAMDEN",2540,"LAUREL SPRINGS BORO",11,"Onroll (Full)",173.0,162.0,178.0
07,"CAMDEN",2540,"LAUREL SPRINGS BORO",21,"Onroll (SpEd Full)",34.0,37.0,30.0
07,"CAMDEN",2540,"LAUREL SPRINGS BORO",40,"Sent Private School",5.0,4.0,0.0
07,"CAMDEN",2540,"LAUREL SPRINGS BORO",51,"Sent Oth Dist Reg",113.0,111.0,105.0
07,"CAMDEN",2540,"LAUREL SPRINGS BORO",52,"Sent Oth Dist SpEd",27.0,29.0,26.0
07,"CAMDEN",2540,"LAUREL SPRINGS BORO",60,"Received Oth Dist",4.0,4.0,0.0
07,"CAMDEN",2560,"LAWNSIDE BORO",11,"Onroll (Full)",254.0,281.0,330.0
07,"CAMDEN",2560,"LAWNSIDE BORO",21,"Onroll (SpEd Full)",33.0,40.0,0.0
07,"CAMDEN",2560,"LAWNSIDE BORO",40,"Sent Private School",3.0,6.0,0.0
07,"CAMDEN",2560,"LAWNSIDE BORO",51,"Sent Oth Dist Reg",96.0,92.0,84.0
07,"CAMDEN",2560,"LAWNSIDE BORO",52,"Sent Oth Dist SpEd",35.0,31.0,19.0
07,"CAMDEN",2560,"LAWNSIDE BORO",60,"Received Oth Dist",0,2.0,0.0
07,"CAMDEN",2560,"LAWNSIDE BORO",70,"State Facilities",0,1.0,0.0
07,"CAMDEN",2670,"LINDENWOLD BORO",11,"Onroll (Full)",2342.0,2428.0,2580.0
07,"CAMDEN",2670,"LINDENWOLD BORO",21,"Onroll (SpEd Full)",317.0,334.0,360.0
07,"CAMDEN",2670,"LINDENWOLD BORO",40,"Sent Private School",24.0,27.0,33.0
07,"CAMDEN",2670,"LINDENWOLD BORO",51,"Sent Oth Dist Reg",12.0,24.0,36.0
07,"CAMDEN",2670,"LINDENWOLD BORO",52,"Sent Oth Dist SpEd",16.0,17.0,27.0
07,"CAMDEN",2670,"LINDENWOLD BORO",60,"Received Oth Dist",71.0,96.0,122.0
07,"CAMDEN",2670,"LINDENWOLD BORO",70,"State Facilities",8.0,8.0,0.0
07,"CAMDEN",2890,"MAGNOLIA BORO",11,"Onroll (Full)",351.0,353.0,359.0
07,"CAMDEN",2890,"MAGNOLIA BORO",21,"Onroll (SpEd Full)",66.0,76.0,73.0
07,"CAMDEN",2890,"MAGNOLIA BORO",40,"Sent Private School",3.0,2.0,1.0
07,"CAMDEN",2890,"MAGNOLIA BORO",51,"Sent Oth Dist Reg",0.0,1.0,1.0
07,"CAMDEN",2890,"MAGNOLIA BORO",52,"Sent Oth Dist SpEd",2.0,3.0,2.0
07,"CAMDEN",2890,"MAGNOLIA BORO",60,"Received Oth Dist",2.0,4.0,0.0
07,"CAMDEN",3110,"MERCHANTVILLE BORO",11,"Onroll (Full)",329.0,362.0,319.0
07,"CAMDEN",3110,"MERCHANTVILLE BORO",21,"Onroll (SpEd Full)",45.0,57.0,55.0
07,"CAMDEN",3110,"MERCHANTVILLE BORO",40,"Sent Private School",8.0,7.0,5.0
07,"CAMDEN",3110,"MERCHANTVILLE BORO",51,"Sent Oth Dist Reg",32.0,40.0,75.0
07,"CAMDEN",3110,"MERCHANTVILLE BORO",52,"Sent Oth Dist SpEd",18.0,17.0,16.0
07,"CAMDEN",3110,"MERCHANTVILLE BORO",60,"Received Oth Dist",0,3.0,0.0
07,"CAMDEN",3110,"MERCHANTVILLE BORO",70,"State Facilities",0,1.0,1.0
07,"CAMDEN",3420,"MOUNT EPHRAIM BORO",11,"Onroll (Full)",366.0,363.0,474.0
07,"CAMDEN",3420,"MOUNT EPHRAIM BORO",21,"Onroll (SpEd Full)",64.0,71.0,125.0
07,"CAMDEN",3420,"MOUNT EPHRAIM BORO",40,"Sent Private School",5.0,6.0,0.0
07,"CAMDEN",3420,"MOUNT EPHRAIM BORO",51,"Sent Oth Dist Reg",135.0,126.0,0.0
07,"CAMDEN",3420,"MOUNT EPHRAIM BORO",52,"Sent Oth Dist SpEd",52.0,53.0,5.0
07,"CAMDEN",3770,"OAKLYN BORO",11,"Onroll (Full)",341.0,336.0,349.0
07,"CAMDEN",3770,"OAKLYN BORO",21,"Onroll (SpEd Full)",49.0,49.0,48.0
07,"CAMDEN",3770,"OAKLYN BORO",40,"Sent Private School",6.0,3.0,3.0
07,"CAMDEN",3770,"OAKLYN BORO",51,"Sent Oth Dist Reg",72.0,78.0,71.0
07,"CAMDEN",3770,"OAKLYN BORO",52,"Sent Oth Dist SpEd",15.0,9.0,10.0
07,"CAMDEN",3770,"OAKLYN BORO",60,"Received Oth Dist",16.0,11.0,10.0
07,"CAMDEN",3770,"OAKLYN BORO",70,"State Facilities",1.0,1.0,0.0
07,"CAMDEN",4060,"PENNSAUKEN TWP",11,"Onroll (Full)",4408.0,4419.0,4311.0
07,"CAMDEN",4060,"PENNSAUKEN TWP",21,"Onroll (SpEd Full)",856.0,855.0,832.0
07,"CAMDEN",4060,"PENNSAUKEN TWP",40,"Sent Private School",86.0,83.0,102.0
07,"CAMDEN",4060,"PENNSAUKEN TWP",51,"Sent Oth Dist Reg",5.0,22.0,0.0
07,"CAMDEN",4060,"PENNSAUKEN TWP",52,"Sent Oth Dist SpEd",51.5,45.0,50.0
07,"CAMDEN",4060,"PENNSAUKEN TWP",60,"Received Oth Dist",47.0,29.0,17.0
07,"CAMDEN",4060,"PENNSAUKEN TWP",70,"State Facilities",5.0,1.0,1.0
07,"CAMDEN",4110,"PINE HILL BORO",11,"Onroll (Full)",1618.0,1604.0,1632.0
07,"CAMDEN",4110,"PINE HILL BORO",12,"Onroll (Shared)",1.0,0,0.0
07,"CAMDEN",4110,"PINE HILL BORO",21,"Onroll (SpEd Full)",326.0,325.0,329.0
07,"CAMDEN",4110,"PINE HILL BORO",40,"Sent Private School",25.0,28.0,30.0
07,"CAMDEN",4110,"PINE HILL BORO",51,"Sent Oth Dist Reg",6.0,5.0,10.0
07,"CAMDEN",4110,"PINE HILL BORO",52,"Sent Oth Dist SpEd",9.0,7.0,5.0
07,"CAMDEN",4110,"PINE HILL BORO",60,"Received Oth Dist",321.0,309.0,310.0
07,"CAMDEN",4110,"PINE HILL BORO",70,"State Facilities",2.0,6.0,6.0
07,"CAMDEN",4590,"RUNNEMEDE BORO",11,"Onroll (Full)",745.0,758.0,756.0
07,"CAMDEN",4590,"RUNNEMEDE BORO",21,"Onroll (SpEd Full)",97.0,105.0,105.0
07,"CAMDEN",4590,"RUNNEMEDE BORO",40,"Sent Private School",4.0,4.0,4.0
07,"CAMDEN",4590,"RUNNEMEDE BORO",51,"Sent Oth Dist Reg",0.0,2.0,2.0
07,"CAMDEN",4590,"RUNNEMEDE BORO",52,"Sent Oth Dist SpEd",6.0,9.0,16.0
07,"CAMDEN",4590,"RUNNEMEDE BORO",60,"Received Oth Dist",4.0,2.0,2.0
07,"CAMDEN",4790,"SOMERDALE BORO",11,"Onroll (Full)",464.0,447.0,455.0
07,"CAMDEN",4790,"SOMERDALE BORO",21,"Onroll (SpEd Full)",65.0,66.0,66.0
07,"CAMDEN",4790,"SOMERDALE BORO",51,"Sent Oth Dist Reg",1.0,3.0,3.0
07,"CAMDEN",4790,"SOMERDALE BORO",52,"Sent Oth Dist SpEd",0,1.0,1.0
07,"CAMDEN",4790,"SOMERDALE BORO",60,"Received Oth Dist",2.0,6.0,6.0
07,"CAMDEN",5035,"STERLING HIGH SCHOOL DIST",11,"Onroll (Full)",788.0,806.0,780.0
07,"CAMDEN",5035,"STERLING HIGH SCHOOL DIST",21,"Onroll (SpEd Full)",170.0,166.0,181.0
07,"CAMDEN",5035,"STERLING HIGH SCHOOL DIST",40,"Sent Private School",3.0,5.0,0.0
07,"CAMDEN",5035,"STERLING HIGH SCHOOL DIST",51,"Sent Oth Dist Reg",1.0,3.0,3.0
07,"CAMDEN",5035,"STERLING HIGH SCHOOL DIST",52,"Sent Oth Dist SpEd",5.0,4.0,8.0
07,"CAMDEN",5035,"STERLING HIGH SCHOOL DIST",60,"Received Oth Dist",122.0,133.0,105.0
07,"CAMDEN",5035,"STERLING HIGH SCHOOL DIST",70,"State Facilities",0,1.0,0.0
07,"CAMDEN",5080,"STRATFORD BORO",11,"Onroll (Full)",700.0,668.0,687.0
07,"CAMDEN",5080,"STRATFORD BORO",21,"Onroll (SpEd Full)",162.0,182.0,169.0
07,"CAMDEN",5080,"STRATFORD BORO",22,"Onroll (SpEd Shared)",1.0,0,0.0
07,"CAMDEN",5080,"STRATFORD BORO",40,"Sent Private School",8.0,8.0,8.0
07,"CAMDEN",5080,"STRATFORD BORO",51,"Sent Oth Dist Reg",2.0,6.0,0.0
07,"CAMDEN",5080,"STRATFORD BORO",52,"Sent Oth Dist SpEd",4.0,6.0,4.0
07,"CAMDEN",5080,"STRATFORD BORO",60,"Received Oth Dist",128.5,145.0,135.0
07,"CAMDEN",5400,"VOORHEES TWP",11,"Onroll (Full)",2652.0,2608.0,2611.0
07,"CAMDEN",5400,"VOORHEES TWP",21,"Onroll (SpEd Full)",342.0,335.0,335.0
07,"CAMDEN",5400,"VOORHEES TWP",40,"Sent Private School",17.0,19.0,19.0
07,"CAMDEN",5400,"VOORHEES TWP",51,"Sent Oth Dist Reg",1.0,4.0,4.0
07,"CAMDEN",5400,"VOORHEES TWP",52,"Sent Oth Dist SpEd",1.0,0,0.0
07,"CAMDEN",5400,"VOORHEES TWP",60,"Received Oth Dist",4.0,3.0,3.0
07,"CAMDEN",5560,"WATERFORD TWP",11,"Onroll (Full)",757.0,720.0,725.0
07,"CAMDEN",5560,"WATERFORD TWP",21,"Onroll (SpEd Full)",123.0,115.0,115.0
07,"CAMDEN",5560,"WATERFORD TWP",22,"Onroll (SpEd Shared)",0,1.0,0.0
07,"CAMDEN",5560,"WATERFORD TWP",40,"Sent Private School",22.0,23.0,23.0
07,"CAMDEN",5560,"WATERFORD TWP",51,"Sent Oth Dist Reg",614.0,640.0,622.0
07,"CAMDEN",5560,"WATERFORD TWP",52,"Sent Oth Dist SpEd",149.0,140.0,141.0
07,"CAMDEN",5560,"WATERFORD TWP",60,"Received Oth Dist",9.0,4.0,0.0
07,"CAMDEN",5560,"WATERFORD TWP",70,"State Facilities",1.0,0,0.0
